price_range;Brand;Model;RAM;Storage;Color
baixo;Xiaomi;Redmi 9AT;2;32;Gray
alto;OnePlus;Nord;12;256;Gray
baixo;Xiaomi;Redmi 12C;3;32;Blue
alto;Google;Pixel 6;8;128;Black
muito alto;Samsung;Galaxy Z Fold3;6;256;Black
alto;Apple;iPhone 12;4;512;Silver
médio;Xiaomi;11 Lite;8;128;Green
médio;Samsung;Galaxy A22;4;128;White
alto;Huawei;P40;8;256;Silver
médio;Xiaomi;Redmi Note 12;8;128;White
alto;Xiaomi;Shark 4;12;256;Black
médio;Samsung;Galaxy S20;8;128;Pink
muito alto;Samsung;Galaxy Z Fold 3;6;512;Silver
médio;Samsung;Galaxy S20;8;128;Gray
alto;Apple;iPhone 12;4;512;Gold
médio;Samsung;Galaxy A71;6;128;Blue
alto;Samsung;Galaxy A51;4;128;Black
médio;Xiaomi;11 Pro;8;128;Blue
médio;POCO;M5s;4;128;Blue
baixo;Realme;C21Y;4;64;Black
médio;TCL;30;4;128;Black
muito alto;Apple;iPhone 14;6;1000;Black
alto;Samsung;Galaxy S22;6;128;Black
médio;Apple;iPhone 11;4;128;Purple
alto;Motorola;ThinkPhone;8;256;Gold
baixo;TCL;30 SE;4;128;Gray
médio;Cubot;KingKong 7;8;128;Black
muito alto;Apple;iPhone 12;4;256;Gold
muito alto;Apple;iPhone 13;4;256;Silver
muito alto;Samsung;Galaxy Z Flip3;8;256;Purple
muito alto;Samsung;Galaxy Note 20;8;256;Bronze
alto;Xiaomi;Shark 4;8;128;Black
alto;OnePlus;7;6;12;Blue
alto;Samsung;Galaxy A53;8;256;Black
muito alto;Apple;iPhone 13;4;128;Green
baixo;Samsung;Galaxy A13;4;64;White
muito alto;Samsung;Galaxy Z Flip4;8;256;Purple
alto;Nothing;Phone (1);8;256;White
alto;Samsung;Galaxy S22;6;128;Pink
alto;Xiaomi;Mi 11;8;256;Gray
baixo;Xiaomi;Redmi 9C;4;128;Green
alto;Samsung;S10+;6;128;Black
baixo;Cubot;P60;6;128;White
médio;Samsung;Galaxy S20;12;128;Black
baixo;Xiaomi;Redmi 9AT;2;32;Blue
médio;Realme;7;8;128;Silver
baixo;Nokia;G11;3;32;Black
médio;Motorola;Edge 20;8;128;Green
alto;Samsung;Galaxy S20;12;128;Blue
baixo;Samsung;Galaxy A50;4;128;Blue
alto;Samsung;Galaxy A71;6;128;Black
alto;Samsung;Galaxy XCover6;6;128;Black
baixo;ZTE;Blade A31;2;32;Blue
baixo;SPC;Smart Ultimate;3;64;Black
baixo;Ulefone;Armor 8;8;128;Red
